växthusgas	sektor	år	Totala utsläpp av växthusgaser
Totala Växthusgaser (kt CO2-ekv.)	ARBETSMASKINER, TOTALT	2009	3565.0
Totala Växthusgaser (kt CO2-ekv.)	ARBETSMASKINER, TOTALT	2010	3702.4
Totala Växthusgaser (kt CO2-ekv.)	ARBETSMASKINER, TOTALT	2011	3690.8
Totala Växthusgaser (kt CO2-ekv.)	ARBETSMASKINER, TOTALT	2012	3654.7
Totala Växthusgaser (kt CO2-ekv.)	ARBETSMASKINER, TOTALT	2013	3603.9
Totala Växthusgaser (kt CO2-ekv.)	ARBETSMASKINER, TOTALT	2014	3467.5
Totala Växthusgaser (kt CO2-ekv.)	ARBETSMASKINER, TOTALT	2015	3513.3
Totala Växthusgaser (kt CO2-ekv.)	ARBETSMASKINER, TOTALT	2016	3314.5
Totala Växthusgaser (kt CO2-ekv.)	ARBETSMASKINER, TOTALT	2017	3351.0
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	1990	3742.3
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	1991	3807.8
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	1992	3819.8
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	1993	3699.0
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	1994	3568.0
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	1995	3561.9
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	1996	3535.5
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	1997	3501.1
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	1998	3448.4
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	1999	3317.7
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2000	3222.4
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2001	3171.7
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2002	2997.8
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2003	2832.1
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2004	2811.3
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2005	2673.5
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2006	2584.0
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2007	2406.0
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2008	2143.1
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2009	2053.2
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2010	1924.2
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2011	1832.7
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2012	1693.5
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2013	1608.5
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2014	1494.3
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2015	1400.3
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2016	1318.3
Totala Växthusgaser (kt CO2-ekv.)	AVFALL, TOTALT	2017	1253.4
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	1990	6484.4
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	1991	7509.1
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	1992	7997.2
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	1993	7883.2
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	1994	8499.2
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	1995	7573.6
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	1996	11665.4
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	1997	7148.2
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	1998	7981.5
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	1999	6241.0
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2000	4957.1
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2001	5808.4
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2002	6849.6
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2003	7838.1
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2004	6837.7
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2005	5952.3
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2006	6019.5
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2007	5850.6
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2008	5495.6
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2009	6679.0
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2010	8663.4
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2011	6421.9
